id,company,department,domain,phone_number,revenue
1,Fanoodle,Product Management,gov,62-(285)148-7545,1374306.54
2,Rhynoodle,Product Management,biz,36-(680)966-3763,3613269.13
3,Edgeclub,Support,info,30-(723)264-8693,1492835.22
4,Meevee,Training,name,7-(135)822-7722,1023567.56
5,Fanoodle,Services,edu,385-(532)891-3338,794558.20
6,Voonder,Sales,com,33-(838)657-6926,4326902.12
7,Skidoo,Training,biz,86-(205)263-0699,2441808.90
8,Tavu,Research and Development,org,48-(766)209-8894,3324222.60
9,Flashdog,Support,name,93-(782)299-3381,2736242.38
10,Jaxspan,Business Development,com,7-(202)725-4324,3825505.86
11,Voomm,Accounting,net,62-(342)554-9709,2907994.87
12,Skiptube,Support,net,86-(963)511-3494,1091048.44
13,Minyx,Services,gov,62-(219)409-1584,1601071.03
14,Wordpedia,Marketing,com,351-(993)963-7202,1378466.87
15,Babbleblab,Human Resources,com,33-(450)295-9800,4500325.48
16,Vinte,Support,info,373-(196)573-5878,3697137.80
17,Edgeblab,Research and Development,net,48-(969)866-5111,2902509.01
18,Riffwire,Accounting,biz,55-(169)964-6268,1087151.53
19,Trunyx,Training,net,86-(746)508-6833,2809626.03
20,Jamia,Services,gov,54-(781)292-5790,1975114.51
